p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
0.25,42,2,35354.327369195504,155979.82048823527,2.100452760246779,3.8418638390229503,7.209687916967714,10.366999685191212,11.787033596623276,0.0736366788054235,0.3224918760236449,1.3040064038208716,10.334221519226508,17.708653146437495
0.25,42,3,44109.91430221006,167524.44407940377,1.948816669188835,3.097650485932812,6.060970860359607,9.191265054229495,10.47054594296913,0.0862599291607848,0.3559091614569348,1.4936200935942048,11.010024314148597,17.315341064217208
0.25,42,4,49001.1528659348,172423.38083934112,1.8758362716226544,2.7427429632290266,5.498591898921098,8.48103301577393,10.302277180549003,0.1002122908739675,0.379287019044757,1.638404547390798,11.188130203173298,16.349337322817465
0.25,42,5,51848.7682543241,175479.6297526423,1.8396878196026325,2.5618138914167803,5.1757298704667285,8.0288975285302,10.341068873517566,0.113227622369391,0.4008075194191229,1.738790516084502,10.787823440415286,15.356593026495895
0.375,42,1,26408.06410872973,97661.0323146266,1.9230579540232784,11.120143689915407,19.7242722414081,25.104889014864323,25.64438996982194,0.0367675054079055,0.3943448482431499,1.0242494180983672,2.609072353226376,27.857462907400244
0.375,42,2,53096.00057247548,149291.70922379132,1.6768219118131524,4.767809961222986,11.454283692302058,19.02661349399798,22.33583550588008,0.1948199670822301,0.6498033124242502,1.3782070904413606,3.5625633694894487,7.074259949236328
0.375,42,3,62726.31808507651,162087.93496846603,1.6074980198904774,3.6923552608731383,9.41952195642177,17.141786469013308,20.51941453113893,0.2395314726424216,0.7062997363505126,1.4707034651437303,3.699779237292828,6.139917435147372
0.375,42,4,68029.12417374193,167586.01717179242,1.5695366090531138,3.1856840394645296,8.416080754871487,15.83982405284246,20.443097375761692,0.2766014022111616,0.7332829313396431,1.5265502248669125,3.7242746499892094,5.518953312107655
0.375,42,5,71833.0170791403,171652.93553017644,1.545836521468938,2.872806165699144,7.768110112755608,14.794536842686528,20.61268573718006,0.311234896905619,0.7541592764046524,1.572630891888232,3.604364670396981,5.05287455720342
0.5,42,1,97661.0323146266,97661.0323146266,1.0,10.379052087472395,22.284940946704623,30.73887121152314,31.622776601683796,0.0551217210058503,0.5033814070018877,0.8922746363685127,0.9960273532606124,16.187350831695035
0.5,42,2,141591.5427362743,141591.5427362743,1.0,4.844336873149276,14.234255466735677,26.655169252362896,31.60627018106281,0.2895018460781325,0.7973859713077054,0.9765323961800154,0.9991865500194216,3.3731473888994232
0.5,42,3,155487.10795412233,155487.10795412233,1.0,3.573046057271843,11.748985667780904,24.694821799518543,30.241015766271214,0.3901656007401796,0.8619613357782789,0.987233242589826,0.999539954996004,2.530292882604092
0.5,42,4,160839.61996438695,160839.61996438695,1.0,3.0481285259464594,10.474411287028897,23.43458774944171,31.0164779984183,0.4508199449898833,0.8902867081901618,0.9907088898298336,0.9996425696662642,2.197571116451083
0.5,42,5,165390.3683059798,165390.3683059798,1.0,2.7358221263278244,9.670718370924549,22.14236213887494,31.62266109863711,0.5097156751622749,0.9064772061902624,0.992515201421924,0.999643246995994,1.947193798005022
0.625,42,1,395604.65182119183,97661.0323146266,0.4968553384590264,9.256088075586524,24.05715796736896,35.961670715590806,37.25889411863413,0.0754442328854025,0.546713041602128,0.7366194222226797,0.7426213332934497,9.763760516215758
0.625,42,2,477647.2001667291,133606.1556469838,0.5288830099021131,4.6702944751069655,16.201532089712945,33.70802360085851,39.65297437894137,0.3078645140810733,0.7461559738680358,0.838001160973117,0.8414930314459008,2.721980360336161
0.625,42,3,497654.5794363748,148075.73240224243,0.5454788827273653,3.2975452106264167,13.473128475715113,31.963889698773627,38.90864944109974,0.3911891984564055,0.7886145109899967,0.8912119658838331,0.8951289015937326,2.278212101460032
0.625,42,4,492204.5321133416,153387.55962103253,0.5582416873670871,2.7297264981515785,11.992111903665482,31.503678036757464,41.33783218379843,0.4024380622419108,0.8207140340914778,0.9328625508387782,0.9374913879220672,2.318027637947482
0.625,42,5,491657.3301334719,158087.4415544573,0.5670448706526062,2.4572589813314862,11.081314808987816,30.62538681605464,42.52236649340606,0.41900321976637,0.8428035531227897,0.961969685583051,0.9672900453788696,2.2958527290540416
0.75,42,1,1686482.318903529,97661.0323146266,0.2406410750576994,8.046504628037072,25.315528040088346,41.011121444799606,42.7927068984738,0.0816412494161733,0.5513818773438637,0.6994173943793803,0.7047757817676977,8.566960934343854
0.75,42,2,1832442.8113362244,127002.63263465615,0.2632638007579246,4.358573934631564,17.519663377430977,40.02209418179554,46.81258784042657,0.2159672980994738,0.6853492760699389,0.8367771841644592,0.8435073853808825,3.874555043880034
0.75,42,3,1843218.1728130933,141419.1656738144,0.2769910672097619,2.9800610395205185,14.61035116315954,38.78869529368576,46.74766700831364,0.2827478810669688,0.7269227828975156,0.9238191376585104,0.9337244225424892,3.2672893397906804
0.75,42,4,1751484.0016617903,146371.8083595649,0.2890850493685092,2.395053870607604,13.16972260754084,40.14901170253192,50.94309874002063,0.2101383140867869,0.7592493014981931,1.0047739638808348,1.017072906190849,4.781488650688728
0.75,42,5,1703105.003296994,151363.54412128677,0.2981191893450141,2.156644112950816,12.072071161473724,39.24643972465435,53.01392161497332,0.1861660275656153,0.787045938811859,1.0664377815841593,1.0815872277545704,5.7284231474955165
1.0,42,1,33628476.44683416,97661.0323146266,0.0538898605014334,5.80530481856704,26.76270669908641,50.91935864582919,53.88986050143341,0.0449451791087016,0.5330902477629661,0.7181002325890811,0.7259302188748928,15.977247100347023
1.0,42,2,33184641.110543773,118139.74958641383,0.0596663484994797,3.476579402649495,19.018612842160977,51.12517343874912,59.666348499479696,0.1092324379419054,0.5946653523844816,0.8736035254181516,0.8898635883508049,7.99765657416501
1.0,42,3,32232809.99633475,132638.07999153293,0.0641482819269458,2.300056224909744,15.649272256383384,49.78049072134277,60.70018250633776,0.1339965541351649,0.6316103346576833,1.0052792117088958,1.028448737066171,7.502276593582032
1.0,42,4,28753137.40923785,136765.7782189374,0.0689677567942516,1.8296402322335377,14.218437922433605,56.8809137917139,68.48640357811433,0.0805198322946364,0.6202912219780248,1.151034087352092,1.1887316135906811,14.29503830981978
1.0,42,5,27120238.419040263,142820.54585565903,0.0725685746014223,1.5217517032554777,12.784111501254696,54.50426622261988,72.56857460142237,0.0616424987504926,0.6250055179865821,1.267327432142236,1.3159361619246353,20.55931310104635
